City_Data,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
120,chokurdakh,0,RU,1615763358,91,70.6333,147.9167,-18.9,5.17
121,zabol,74,AF,1615763836,36,32.25,67.25,44.22,1.66
122,loviisa,100,FI,1615763836,96,60.4566,26.2251,30.99,4.5
123,port elizabeth,90,ZA,1615763521,94,-33.918,25.5701,69.8,9.22
124,marienburg,57,PL,1615763837,100,54.0359,19.0266,35.01,9.84
125,yellowknife,90,CA,1615763397,73,62.456,-114.3525,12.99,5.75
126,castro,4,BR,1615763565,83,-24.7911,-50.0119,65.68,1.52
127,zlobin,90,HR,1615763838,46,45.2924,14.6541,46.99,9.22
128,lagoa,24,PT,1615763400,91,39.05,-27.9833,59.74,14.03
129,saldanha,50,ZA,1615763606,90,-33.0117,17.9442,64.35,17.52
130,zhangye,0,CN,1615763839,40,38.9342,100.4517,41.7,3.96
131,mount gambier,90,AU,1615763641,94,-37.8333,140.7667,60.8,6.91
132,san marcos,40,US,1615763694,58,33.1434,-117.1661,62.01,10.36
133,kavaratti,9,IN,1615763839,68,10.5669,72.642,82.47,4.34
134,carnarvon,26,AU,1615763529,88,-24.8667,113.6333,77.0,6.91
135,karpathos,100,GR,1615763840,82,35.507,27.2132,59.0,5.75
136,cap malheureux,99,MU,1615763629,92,-19.9842,57.6142,75.99,1.01
137,codrington,99,AU,1615763538,82,-38.2667,141.9667,59.27,9.1
138,avera,1,US,1615763841,41,33.194,-82.5271,78.8,3.49
139,port lincoln,38,AU,1615763446,74,-34.7333,135.8667,61.99,6.31
140,saravan,90,AM,1615763842,80,39.7196,45.6483,35.6,6.91
141,namwala,59,ZM,1615763842,96,-15.7504,26.4384,61.48,4.21
142,butaritari,18,KI,1615763524,80,3.0707,172.7902,81.16,15.32
143,zhigansk,65,RU,1615763545,85,66.7697,123.3711,-23.57,10.71
144,pekalongan,99,ID,1615763843,88,-6.8886,109.6753,77.41,2.48
145,upernavik,100,GL,1615763413,99,72.7868,-56.1549,-3.73,6.26
146,omboue,100,GA,1615763659,90,-1.5746,9.2618,77.72,3.65
147,hirara,40,JP,1615763844,73,24.8,125.2833,68.0,6.91
148,abu kamal,100,SY,1615763845,37,34.4506,40.9171,59.83,8.77
149,tevriz,98,RU,1615763845,97,57.509,72.4042,5.31,5.21
150,songkhla,20,TH,1615763846,100,6.8333,100.6667,73.4,3.44
151,san luis,45,AR,1615763673,65,-33.295,-66.3356,70.02,3.11
152,kruisfontein,100,ZA,1615763297,97,-34.0033,24.7314,68.0,1.99
153,evensk,100,RU,1615763847,78,61.95,159.2333,-2.25,3.09
154,asmar,61,AF,1615763847,62,35.0333,71.3581,50.65,9.42
155,guane,0,CU,1615763848,67,22.2025,-84.0875,77.83,8.1
156,padang,40,ID,1615763390,100,-0.9492,100.3543,73.4,2.3
157,endicott,1,US,1615763745,46,42.0984,-76.0494,28.99,21.85
158,kieta,70,PG,1615763848,65,-6.2167,155.6333,83.86,2.33
159,santa maria,0,BR,1615763833,61,-29.6842,-53.8069,78.8,2.3
160,sao joao da barra,32,BR,1615763526,85,-21.6403,-41.0511,76.71,12.17
161,baghdad,0,IQ,1615763804,62,33.3406,44.4009,53.6,5.21
162,mogadishu,100,SO,1615763522,83,2.0371,45.3438,79.72,10.16
163,mahibadhoo,63,MV,1615763686,68,3.7833,72.9667,83.03,5.99
164,altay,100,CN,1615763630,80,47.8667,88.1167,20.08,1.19
165,yumen,12,CN,1615763592,31,40.2833,97.2,37.24,29.66
166,luderitz,0,NA,1615763330,75,-26.6481,15.1594,66.97,17.02
167,kodiak,90,US,1615763287,64,57.79,-152.4072,35.6,20.71
168,fortuna,100,US,1615763350,91,40.5982,-124.1573,42.01,8.01
169,airai,100,TL,1615763554,84,-8.9266,125.4092,63.14,1.34
170,boyolangu,89,ID,1615763851,90,-8.1181,111.8935,74.3,1.74
171,tura,0,IN,1615763642,45,25.5198,90.2201,68.02,3.24
172,viedma,54,AR,1615763851,69,-40.8135,-62.9967,64.65,12.82
173,ilulissat,75,GL,1615763590,57,69.2167,-51.1,12.2,8.05
174,dalbandin,10,PK,1615763852,21,28.8947,64.4101,61.38,3.87
175,pokhara,0,NP,1615763702,37,28.2333,83.9833,62.89,5.14
176,mar del plata,0,AR,1615763230,88,-38.0023,-57.5575,70.0,11.5
177,victoria,93,HK,1615763395,83,22.2855,114.1577,69.01,1.99
178,hambantota,94,LK,1615763523,84,6.1241,81.1185,76.75,11.61
179,arman,19,RU,1615763853,79,59.7,150.1667,6.51,3.96
180,saskylakh,1,RU,1615763531,92,71.9167,114.0833,-31.34,4.47
181,clyde river,1,CA,1615763583,84,70.4692,-68.5914,-9.4,23.02
182,eberbach,97,DE,1615763854,98,49.4694,8.9928,39.0,13.0
183,fairbanks,1,US,1615763564,56,64.8378,-147.7164,19.0,4.61
184,grindavik,75,IS,1615763595,87,63.8424,-22.4338,37.4,11.5
185,katsuura,30,JP,1615763644,35,35.1333,140.3,51.01,4.0
186,marzuq,0,YE,1615763589,55,14.4,46.4667,59.22,2.26
187,pierre,90,US,1615763650,93,44.3683,-100.351,35.01,13.8
188,hilo,90,US,1615763302,78,19.7297,-155.09,75.0,8.05
189,gorontalo,72,ID,1615763857,87,0.5412,123.0595,77.34,1.83
190,palamos,90,ES,1615763857,87,41.8484,3.1291,51.01,1.14
191,nandura,0,IN,1615763857,23,20.8333,76.45,76.35,4.32
192,albanel,100,CA,1615763858,66,48.8832,-72.4487,6.8,18.41
193,itacoatiara,94,BR,1615763858,94,-3.1431,-58.4442,76.03,1.34
194,boyuibe,96,BO,1615763859,83,-20.4167,-63.2833,73.4,3.44
195,mocuba,96,MZ,1615763859,98,-16.8392,36.9856,71.49,2.06
196,vao,7,NC,1615763585,77,-22.6667,167.4833,76.82,16.4
197,mahebourg,75,MU,1615763657,94,-20.4081,57.7,77.0,10.54
198,tutoia,5,BR,1615763860,86,-2.7619,-42.2744,78.44,8.25
199,kurilsk,100,RU,1615763861,96,45.2333,147.8833,33.93,14.09
200,akyab,3,MM,1615763651,53,20.15,92.9,70.48,6.62
201,lebu,0,CL,1615763552,84,-37.6167,-73.65,58.75,4.29
202,srbac,90,BA,1615763862,93,45.0978,17.525,39.2,9.22
203,russell,1,US,1615763862,26,32.3502,-85.1999,84.2,6.91
204,rio tercero,35,AR,1615763863,85,-32.173,-64.1141,73.0,8.81
205,praia,0,CV,1615763598,68,14.9215,-23.5087,69.8,11.5
206,rawson,77,AR,1615763863,63,-43.3002,-65.1023,64.6,19.17
207,kampong cham,20,KH,1615763864,71,11.9934,105.4635,75.0,7.14
208,vawkavysk,74,BY,1615763864,91,53.1561,24.4513,35.62,9.31
209,port hardy,75,CA,1615763704,75,50.6996,-127.4199,39.2,12.66
210,wilmington,1,US,1615763578,46,34.2257,-77.9447,71.6,6.91
211,ribeira grande,40,PT,1615763561,100,38.5167,-28.7,60.8,6.91
212,avarua,20,CK,1615763516,74,-21.2078,-159.775,86.0,12.66
213,le port,75,RE,1615763865,88,-20.9373,55.2919,73.4,16.11
